51,2555
51,2569
51,2469
51,2477
51,2631
51,2483
51,2506
51,2474
51,2469
51,2488
52,2491
52,2459
52,2542
52,2553
52,2501
52,105
52,106
52,122
52,138
55,1000
56,1058
56,1031
58,991
58,979
58,982
58,989
58,982
58,962
58,915
58,969
58,1000
58,1045
58,994
62,1066
62,1012
62,1003
64,1000
64,111
65,110
65,179
69,203
69,198
69,177
71,205
74,170
74,179
81,307
81,322
81,376
81,342
82,323
83,313
86,301
86,323
89,315
89,316
91,309
91,296
91,332
92,333
92,332
92,319
92,497
94,338
95,386
95,361
95,330
95,312
95,341
97,298
98,339
98,347
